Wavelength [nm]	I [A]	Wavelength [nm]	EQE [%]
3.000160E+2	1.530915E-9	3.000160E+2	1.747433E+1
3.099890E+2	2.198260E-9	3.099890E+2	1.178317E+1
3.199890E+2	2.935860E-9	3.199890E+2	1.342987E+1
3.300140E+2	3.656180E-9	3.300140E+2	2.005779E+1
3.399890E+2	4.290115E-9	3.399890E+2	2.380905E+1
3.499890E+2	4.158695E-9	3.499890E+2	2.556201E+1
3.600130E+2	4.548865E-9	3.600130E+2	2.588041E+1
3.699860E+2	4.798065E-9	3.699860E+2	2.492002E+1
3.799830E+2	5.315120E-9	3.799830E+2	2.150543E+1
3.900020E+2	6.317380E-9	3.900020E+2	1.895137E+1
4.000060E+2	8.008155E-9	4.000060E+2	1.786573E+1
4.099950E+2	9.214150E-9	4.099950E+2	1.866632E+1
4.200050E+2	1.082850E-8	4.200050E+2	2.024387E+1
4.299990E+2	1.212545E-8	4.299990E+2	2.235669E+1
4.400140E+2	1.377890E-8	4.400140E+2	2.546344E+1
4.500110E+2	1.553430E-8	4.500110E+2	2.952656E+1
4.599900E+2	1.771890E-8	4.599900E+2	3.344023E+1
4.699890E+2	2.346145E-8	4.699890E+2	3.624214E+1
4.800060E+2	2.023455E-8	4.800060E+2	3.790806E+1
4.900030E+2	2.036190E-8	4.900030E+2	3.871120E+1
4.999820E+2	2.051105E-8	4.999820E+2	3.921562E+1
5.100140E+2	1.998720E-8	5.100140E+2	3.945212E+1
5.199880E+2	2.092940E-8	5.199880E+2	4.033484E+1
5.300150E+2	2.204990E-8	5.300150E+2	4.175111E+1
5.399840E+2	2.289030E-8	5.399840E+2	4.345946E+1
5.500040E+2	2.359240E-8	5.500040E+2	4.561939E+1
5.000050E+2	2.813990E-8	5.000050E+2	3.913057E+1
5.100050E+2	3.189075E-8	5.100050E+2	3.931642E+1
5.199990E+2	3.647460E-8	5.199990E+2	4.094708E+1
5.299890E+2	3.931220E-8	5.299890E+2	4.226833E+1
5.399740E+2	4.156050E-8	5.399740E+2	4.413068E+1
5.500300E+2	4.499840E-8	5.500300E+2	4.598367E+1
5.600050E+2	4.937125E-8	5.600050E+2	4.862594E+1
5.699740E+2	5.452625E-8	5.699740E+2	5.015614E+1
5.800150E+2	5.991065E-8	5.800150E+2	5.194620E+1
5.899730E+2	6.491655E-8	5.899730E+2	5.342733E+1
6.000020E+2	6.836535E-8	6.000020E+2	5.400170E+1
6.100260E+2	7.124660E-8	6.100260E+2	5.463682E+1
6.199670E+2	7.102835E-8	6.199670E+2	5.496051E+1
6.299790E+2	7.200330E-8	6.299790E+2	5.503036E+1
6.399850E+2	7.353125E-8	6.399850E+2	5.490957E+1
6.499850E+2	7.783865E-8	6.499850E+2	5.507046E+1
6.599790E+2	7.946845E-8	6.599790E+2	5.481866E+1
6.699660E+2	8.460530E-8	6.699660E+2	5.440795E+1
6.800240E+2	9.068800E-8	6.800240E+2	5.376925E+1
6.899990E+2	9.627590E-8	6.899990E+2	5.336442E+1
6.999670E+2	8.904365E-8	6.999670E+2	5.299836E+1
7.100030E+2	9.093535E-8	7.100030E+2	5.313298E+1
7.200340E+2	9.351110E-8	7.200340E+2	5.344178E+1
7.299820E+2	9.147380E-8	7.299820E+2	5.421684E+1
7.399980E+2	9.314725E-8	7.399980E+2	5.474318E+1
7.500080E+2	9.026595E-8	7.500080E+2	5.495221E+1
7.600110E+2	1.007290E-7	7.600110E+2	5.409090E+1
7.700050E+2	1.068990E-7	7.700050E+2	5.343100E+1
7.799930E+2	7.580135E-8	7.799930E+2	5.198726E+1
7.899730E+2	8.143300E-8	7.899730E+2	5.125941E+1
8.000200E+2	8.413960E-8	8.000200E+2	5.079249E+1
8.099850E+2	8.201505E-8	8.099850E+2	5.068982E+1
8.200170E+2	2.756440E-7	8.200170E+2	5.040125E+1
8.299660E+2	4.477640E-7	8.299660E+2	5.055227E+1
8.399820E+2	1.800080E-7	8.399820E+2	5.102984E+1
8.499900E+2	7.744575E-8	8.499900E+2	5.097788E+1
8.599890E+2	7.430250E-8	8.599890E+2	5.103981E+1
8.699800E+2	1.165905E-7	8.699800E+2	5.094952E+1
8.800370E+2	5.421500E-7	8.800370E+2	5.058891E+1
8.900120E+2	5.016375E-7	8.900120E+2	5.087658E+1
8.999770E+2	4.396730E-7	8.999770E+2	5.061328E+1
9.100080E+2	4.274205E-7	9.100080E+2	5.051174E+1
9.200290E+2	5.243090E-7	9.200290E+2	5.028837E+1
9.299690E+2	2.018065E-7	9.299690E+2	5.047849E+1
9.399710E+2	2.902540E-7	9.399710E+2	4.981886E+1
9.499660E+2	3.413315E-7	9.499660E+2	4.939228E+1
9.600260E+2	2.150780E-7	9.600260E+2	4.886033E+1
9.700000E+2	2.116730E-7	9.700000E+2	4.786690E+1
9.799660E+2	5.271615E-7	9.799660E+2	4.667900E+1
9.899970E+2	5.087970E-7	9.899970E+2	4.545292E+1
1.000017E+3	3.737240E-7	1.000017E+3	4.409603E+1
1.010027E+3	1.727030E-7	1.010027E+3	4.226539E+1
1.020027E+3	1.442390E-7	1.020027E+3	3.995557E+1
1.030016E+3	8.822875E-8	1.030016E+3	3.733307E+1
1.039996E+3	7.190145E-8	1.039996E+3	3.389254E+1
1.049965E+3	6.709935E-8	1.049965E+3	3.026638E+1
1.059997E+3	5.032075E-8	1.059997E+3	2.577415E+1
1.070017E+3	3.141420E-8	1.070017E+3	2.171566E+1
1.080027E+3	3.264015E-8	1.080027E+3	1.744173E+1
1.090026E+3	2.689935E-8	1.090026E+3	1.366483E+1
1.100014E+3	1.391535E-8	1.100014E+3	1.028406E+1
