Wavelength [nm]	I [A]	Wavelength [nm]	EQE [%]
3.000160E+2	1.530915E-9	3.000160E+2	2.469490E+1
3.099890E+2	2.198260E-9	3.099890E+2	1.662230E+1
3.199890E+2	2.935860E-9	3.199890E+2	1.971916E+1
3.300140E+2	3.656180E-9	3.300140E+2	2.982017E+1
3.399890E+2	4.290115E-9	3.399890E+2	3.553270E+1
3.499890E+2	4.158695E-9	3.499890E+2	3.799685E+1
3.600130E+2	4.548865E-9	3.600130E+2	3.953588E+1
3.699860E+2	4.798065E-9	3.699860E+2	4.163784E+1
3.799830E+2	5.315120E-9	3.799830E+2	4.308196E+1
3.900020E+2	6.317380E-9	3.900020E+2	4.525019E+1
4.000060E+2	8.008155E-9	4.000060E+2	4.778035E+1
4.099950E+2	9.214150E-9	4.099950E+2	4.921639E+1
4.200050E+2	1.082850E-8	4.200050E+2	4.848252E+1
4.299990E+2	1.212545E-8	4.299990E+2	4.520394E+1
4.400140E+2	1.377890E-8	4.400140E+2	4.198221E+1
4.500110E+2	1.553430E-8	4.500110E+2	4.070405E+1
4.599900E+2	1.771890E-8	4.599900E+2	4.122435E+1
4.699890E+2	2.346145E-8	4.699890E+2	4.279625E+1
4.800060E+2	2.023455E-8	4.800060E+2	4.460758E+1
4.900030E+2	2.036190E-8	4.900030E+2	4.655876E+1
4.999820E+2	2.051105E-8	4.999820E+2	4.837313E+1
5.100140E+2	1.998720E-8	5.100140E+2	4.977836E+1
5.199880E+2	2.092940E-8	5.199880E+2	5.140694E+1
5.300150E+2	2.204990E-8	5.300150E+2	5.338427E+1
5.399840E+2	2.289030E-8	5.399840E+2	5.542180E+1
5.500040E+2	2.359240E-8	5.500040E+2	5.781691E+1
5.000050E+2	2.813990E-8	5.000050E+2	4.863966E+1
5.100050E+2	3.189075E-8	5.100050E+2	5.121997E+1
5.199990E+2	3.647460E-8	5.199990E+2	5.267465E+1
5.299890E+2	3.931220E-8	5.299890E+2	5.414604E+1
5.399740E+2	4.156050E-8	5.399740E+2	5.588739E+1
5.500300E+2	4.499840E-8	5.500300E+2	5.817172E+1
5.600050E+2	4.937125E-8	5.600050E+2	6.168969E+1
5.699740E+2	5.452625E-8	5.699740E+2	6.317970E+1
5.800150E+2	5.991065E-8	5.800150E+2	6.552018E+1
5.899730E+2	6.491655E-8	5.899730E+2	6.760697E+1
6.000020E+2	6.836535E-8	6.000020E+2	6.894865E+1
6.100260E+2	7.124660E-8	6.100260E+2	7.015457E+1
6.199670E+2	7.102835E-8	6.199670E+2	7.073172E+1
6.299790E+2	7.200330E-8	6.299790E+2	7.057909E+1
6.399850E+2	7.353125E-8	6.399850E+2	6.973200E+1
6.499850E+2	7.783865E-8	6.499850E+2	6.920697E+1
6.599790E+2	7.946845E-8	6.599790E+2	6.870856E+1
6.699660E+2	8.460530E-8	6.699660E+2	6.827023E+1
6.800240E+2	9.068800E-8	6.800240E+2	6.773530E+1
6.899990E+2	9.627590E-8	6.899990E+2	6.692233E+1
6.999670E+2	8.904365E-8	6.999670E+2	6.546778E+1
7.100030E+2	9.093535E-8	7.100030E+2	6.495566E+1
7.200340E+2	9.351110E-8	7.200340E+2	6.431405E+1
7.299820E+2	9.147380E-8	7.299820E+2	6.425863E+1
7.399980E+2	9.314725E-8	7.399980E+2	6.417197E+1
7.500080E+2	9.026595E-8	7.500080E+2	6.443261E+1
7.600110E+2	1.007290E-7	7.600110E+2	6.457994E+1
7.700050E+2	1.068990E-7	7.700050E+2	6.490816E+1
7.799930E+2	7.580135E-8	7.799930E+2	6.510109E+1
7.899730E+2	8.143300E-8	7.899730E+2	6.499490E+1
8.000200E+2	8.413960E-8	8.000200E+2	6.441366E+1
8.099850E+2	8.201505E-8	8.099850E+2	6.381486E+1
8.200170E+2	2.756440E-7	8.200170E+2	6.324927E+1
8.299660E+2	4.477640E-7	8.299660E+2	6.263509E+1
8.399820E+2	1.800080E-7	8.399820E+2	6.232606E+1
8.499900E+2	7.744575E-8	8.499900E+2	6.181764E+1
8.599890E+2	7.430250E-8	8.599890E+2	6.185679E+1
8.699800E+2	1.165905E-7	8.699800E+2	6.134508E+1
8.800370E+2	5.421500E-7	8.800370E+2	6.093830E+1
8.900120E+2	5.016375E-7	8.900120E+2	6.045000E+1
8.999770E+2	4.396730E-7	8.999770E+2	5.999807E+1
9.100080E+2	4.274205E-7	9.100080E+2	5.949271E+1
9.200290E+2	5.243090E-7	9.200290E+2	5.862828E+1
9.299690E+2	2.018065E-7	9.299690E+2	5.839251E+1
9.399710E+2	2.902540E-7	9.399710E+2	5.781827E+1
9.499660E+2	3.413315E-7	9.499660E+2	5.671725E+1
9.600260E+2	2.150780E-7	9.600260E+2	5.600426E+1
9.700000E+2	2.116730E-7	9.700000E+2	5.519380E+1
9.799660E+2	5.271615E-7	9.799660E+2	5.421357E+1
9.899970E+2	5.087970E-7	9.899970E+2	5.326065E+1
1.000017E+3	3.737240E-7	1.000017E+3	5.173313E+1
1.010027E+3	1.727030E-7	1.010027E+3	5.100702E+1
1.020027E+3	1.442390E-7	1.020027E+3	4.894020E+1
1.030016E+3	8.822875E-8	1.030016E+3	4.684992E+1
1.039996E+3	7.190145E-8	1.039996E+3	4.282716E+1
1.049965E+3	6.709935E-8	1.049965E+3	3.747195E+1
1.059997E+3	5.032075E-8	1.059997E+3	3.017829E+1
1.070017E+3	3.141420E-8	1.070017E+3	2.304562E+1
1.080027E+3	3.264015E-8	1.080027E+3	1.646988E+1
1.090026E+3	2.689935E-8	1.090026E+3	1.166831E+1
1.100014E+3	1.391535E-8	1.100014E+3	7.923177E+0
